LAMMPS data file: diamond lathe fixture (rail + tool + two rotating grippers)

56268 atoms
3 atom types

-119.9000 97.2880 xlo xhi
-169.1030 127.0580 ylo yhi
-64.8650 78.4450 zlo zhi

Masses

1 12.0110  # C (diamond)
2 1.0080  # H (diamond surface termination)
3 63.5460          # Cu (workpiece, added later)

Atoms # full

253 1 1 0.0 21.4670 -7.7600 -8.9430
254 1 1 0.0 21.4040 -7.2670 -11.9420
255 1 1 0.0 20.1450 -7.7720 -11.1560
256 1 1 0.0 20.1710 -7.2650 -9.6640
257 1 1 0.0 18.9080 -7.7650 -8.8790
258 1 1 0.0 18.8480 -7.2790 -11.8730
259 1 1 0.0 17.5930 -7.7870 -11.0820
260 1 1 0.0 17.6140 -7.2690 -9.5980
261 1 1 0.0 16.3580 -7.7720 -8.8120
262 1 1 0.0 16.2870 -7.3230 -11.8010
263 1 1 0.0 15.0670 -7.8860 -10.9930
264 1 1 0.0 15.0540 -7.3070 -9.5340
265 1 1 0.0 13.8330 -7.8680 -8.7340
266 1 1 0.0 71.3610 -7.5860 -7.7540
267 1 1 0.0 71.3930 -7.0840 -6.2700
268 1 1 0.0 70.1340 -7.5940 -5.5000
269 1 1 0.0 70.0720 -7.0840 -8.4760
270 1 1 0.0 68.8150 -7.5990 -7.7070
271 1 1 0.0 68.8420 -7.0970 -6.2180
272 1 1 0.0 67.5860 -7.6150 -5.4420
273 1 1 0.0 67.5200 -7.1100 -8.4320
274 1 1 0.0 66.2640 -7.6300 -7.6590
275 1 1 0.0 66.2890 -7.1290 -6.1650
276 1 1 0.0 65.0350 -7.6480 -5.3850
277 1 1 0.0 64.9650 -7.1440 -8.3870
278 1 1 0.0 63.7080 -7.6620 -7.6090
279 1 1 0.0 63.7360 -7.1620 -6.1100
280 1 1 0.0 62.4790 -7.6740 -5.3260
281 1 1 0.0 62.4100 -7.1690 -8.3370
282 1 1 0.0 61.1520 -7.6670 -7.5530
283 1 1 0.0 61.1820 -7.1720 -6.0490
284 1 1 0.0 59.9200 -7.6530 -5.2580
285 1 1 0.0 59.8580 -7.1530 -8.2760
286 1 1 0.0 24.1010 -7.7070 -4.4920
287 1 1 0.0 24.0510 -7.2270 -7.5030
288 1 1 0.0 22.7870 -7.7420 -6.7220
289 1 1 0.0 22.8050 -7.2340 -5.2250
290 1 1 0.0 21.5410 -7.7410 -4.4430
291 1 1 0.0 21.4910 -7.2530 -7.4490
292 1 1 0.0 20.2250 -7.7530 -6.6650
293 1 1 0.0 20.2490 -7.2430 -5.1730
294 1 1 0.0 18.9830 -7.7350 -4.3940
295 1 1 0.0 18.9330 -7.2540 -7.3900
296 1 1 0.0 17.6700 -7.7480 -6.6080
297 1 1 0.0 17.6940 -7.2330 -5.1230
298 1 1 0.0 16.3780 -7.2500 -7.3310
299 1 1 0.0 70.1620 -7.0950 -4.0140
300 1 1 0.0 68.9060 -7.6060 -3.2360
301 1 1 0.0 68.9370 -7.1060 -1.7480
302 1 1 0.0 67.6830 -7.6160 -0.9630
303 1 1 0.0 67.6130 -7.1120 -3.9520
304 1 1 0.0 66.3600 -7.6290 -3.1690
305 1 1 0.0 66.3870 -7.1240 -1.6770
306 1 1 0.0 65.1340 -7.6390 -0.8880
307 1 1 0.0 65.0620 -7.1450 -3.8890
308 1 1 0.0 63.8070 -7.6610 -3.1040
309 1 1 0.0 63.8350 -7.1560 -1.6080
310 1 1 0.0 62.5810 -7.6700 -0.8190
311 1 1 0.0 62.5070 -7.1740 -3.8270
312 1 1 0.0 61.2490 -7.6810 -3.0390
313 1 1 0.0 61.2800 -7.1810 -1.5400
314 1 1 0.0 60.0190 -7.6850 -0.7510
315 1 1 0.0 59.9530 -7.1710 -3.7580
316 1 1 0.0 58.6880 -7.6530 -2.9700
317 1 1 0.0 58.7220 -7.1730 -1.4700
318 1 1 0.0 57.4560 -7.6530 -0.6830
319 1 1 0.0 26.7430 -7.6570 -0.0300
320 1 1 0.0 25.4200 -7.6700 -2.2570
321 1 1 0.0 25.4400 -7.1890 -0.7590
322 1 1 0.0 24.1780 -7.7140 0.0140
323 1 1 0.0 24.1210 -7.2080 -2.9930
324 1 1 0.0 22.8590 -7.7270 -2.2150
325 1 1 0.0 22.8820 -7.2210 -0.7200
326 1 1 0.0 21.6110 -7.7150 0.0550
327 1 1 0.0 21.5650 -7.2320 -2.9480
328 1 1 0.0 20.2970 -7.7240 -2.1710
329 1 1 0.0 20.3220 -7.2110 -0.6810
330 1 1 0.0 19.0090 -7.2210 -2.9060
331 1 1 0.0 67.7130 -7.1150 0.5270
332 1 1 0.0 66.4600 -7.6250 1.3150
333 1 1 0.0 66.4920 -7.1230 2.8060
334 1 1 0.0 65.2380 -7.6320 3.5980
335 1 1 0.0 65.1630 -7.1330 0.6040
336 1 1 0.0 63.9110 -7.6470 1.3950
337 1 1 0.0 63.9400 -7.1410 2.8880
338 1 1 0.0 62.6880 -7.6540 3.6800
339 1 1 0.0 62.6100 -7.1640 0.6780
340 1 1 0.0 61.3550 -7.6760 1.4680
341 1 1 0.0 61.3860 -7.1700 2.9640
342 1 1 0.0 60.1300 -7.6820 3.7550
343 1 1 0.0 60.0520 -7.1860 0.7480
344 1 1 0.0 58.7920 -7.6890 1.5360
345 1 1 0.0 58.8260 -7.1910 3.0350
346 1 1 0.0 57.5640 -7.6930 3.8230
347 1 1 0.0 57.4940 -7.1750 0.8170
348 1 1 0.0 56.2250 -7.6540 1.6030
349 1 1 0.0 56.2650 -7.1780 3.1040
350 1 1 0.0 54.9970 -7.6570 3.8880
351 1 1 0.0 29.3910 -7.6450 4.4230
352 1 1 0.0 28.0680 -7.6480 2.1960
353 1 1 0.0 28.0870 -7.1740 3.6970
354 1 1 0.0 26.8220 -7.7000 4.4700
355 1 1 0.0 26.7640 -7.1790 1.4690
356 1 1 0.0 25.4990 -7.7060 2.2420
357 1 1 0.0 25.5230 -7.2060 3.7380
358 1 1 0.0 24.2500 -7.7020 4.5110
359 1 1 0.0 24.2010 -7.2120 1.5090
360 1 1 0.0 22.9290 -7.7070 2.2830
361 1 1 0.0 22.9580 -7.1970 3.7740
362 1 1 0.0 21.6390 -7.2030 1.5460
363 1 1 0.0 65.2710 -7.1300 5.0890
364 1 1 0.0 64.0170 -7.6390 5.8830
365 1 1 0.0 64.0500 -7.1370 7.3750
366 1 1 0.0 62.7950 -7.6450 8.1700
367 1 1 0.0 62.7180 -7.1480 5.1730
368 1 1 0.0 61.4640 -7.6610 5.9660
369 1 1 0.0 61.4950 -7.1550 7.4600
370 1 1 0.0 60.2400 -7.6670 8.2540
371 1 1 0.0 60.1610 -7.1770 5.2500
372 1 1 0.0 58.9050 -7.6880 6.0420
373 1 1 0.0 58.9360 -7.1830 7.5380
374 1 1 0.0 57.6770 -7.6930 8.3290
375 1 1 0.0 57.6000 -7.1970 5.3220
376 1 1 0.0 56.3370 -7.6990 6.1090
377 1 1 0.0 56.3720 -7.2030 7.6070
378 1 1 0.0 55.1070 -7.7050 8.3930
379 1 1 0.0 55.0370 -7.1830 5.3890
380 1 1 0.0 53.7680 -7.6650 6.1710
381 1 1 0.0 53.8050 -7.1930 7.6720
382 1 1 0.0 52.5330 -7.6840 8.4520
383 1 1 0.0 32.0430 -7.6690 8.8730
384 1 1 0.0 30.7150 -7.6480 6.6480
385 1 1 0.0 30.7390 -7.1800 8.1490
386 1 1 0.0 29.4700 -7.6970 8.9260
387 1 1 0.0 29.4110 -7.1730 5.9230
388 1 1 0.0 28.1460 -7.6970 6.6980
389 1 1 0.0 28.1710 -7.2000 8.1950
390 1 1 0.0 26.8960 -7.6940 8.9700
391 1 1 0.0 26.8460 -7.2020 5.9670
392 1 1 0.0 25.5730 -7.6980 6.7410
393 1 1 0.0 25.6020 -7.1890 8.2330
394 1 1 0.0 24.2790 -7.1930 6.0040
395 1 1 0.0 62.8270 -7.1420 9.6610
396 1 1 0.0 61.5710 -7.6480 10.4550
397 1 1 0.0 61.6020 -7.1420 11.9440
398 1 1 0.0 60.3440 -7.6460 12.7380
399 1 1 0.0 60.2710 -7.1580 9.7450
400 1 1 0.0 59.0130 -7.6680 10.5390
401 1 1 0.0 59.0430 -7.1560 12.0280
402 1 1 0.0 57.7850 -7.6620 12.8200
403 1 1 0.0 57.7090 -7.1850 9.8220
404 1 1 0.0 56.4480 -7.6920 10.6130
405 1 1 0.0 56.4790 -7.1790 12.1030
406 1 1 0.0 55.2170 -7.6820 12.8920
407 1 1 0.0 55.1420 -7.2040 9.8910
408 1 1 0.0 53.8750 -7.7050 10.6760
409 1 1 0.0 53.9100 -7.1960 12.1690
410 1 1 0.0 52.6440 -7.6930 12.9540
411 1 1 0.0 52.5700 -7.2030 9.9500
412 1 1 0.0 51.2990 -7.7050 10.7280
413 1 1 0.0 51.3380 -7.2010 12.2240
414 1 1 0.0 50.0690 -7.6950 13.0080
415 1 1 0.0 49.9950 -7.2020 9.9890
416 1 1 0.0 48.7270 -7.6980 10.7690
417 1 1 0.0 48.7670 -7.1970 12.2720
418 1 1 0.0 47.5000 -7.6880 13.0560
419 1 1 0.0 47.4310 -7.1890 10.0250
420 1 1 0.0 46.1640 -7.6820 10.8110
421 1 1 0.0 46.2030 -7.1860 12.3170
422 1 1 0.0 44.9370 -7.6780 13.1040
423 1 1 0.0 44.8720 -7.1700 10.0690
424 1 1 0.0 43.6070 -7.6680 10.8580
425 1 1 0.0 43.6420 -7.1760 12.3660
426 1 1 0.0 42.3760 -7.6730 13.1540
427 1 1 0.0 42.3140 -7.1590 10.1190
428 1 1 0.0 41.0520 -7.6640 10.9100
429 1 1 0.0 41.0820 -7.1730 12.4180
430 1 1 0.0 39.8170 -7.6740 13.2090
431 1 1 0.0 39.7580 -7.1610 10.1740
432 1 1 0.0 38.4960 -7.6720 10.9680
433 1 1 0.0 38.5210 -7.1780 12.4750
434 1 1 0.0 37.2550 -7.6790 13.2670
435 1 1 0.0 37.1990 -7.1750 10.2350
436 1 1 0.0 35.9360 -7.6840 11.0310
437 1 1 0.0 35.9580 -7.1860 12.5350
438 1 1 0.0 34.6870 -7.6840 13.3250
439 1 1 0.0 34.6380 -7.1850 10.3040
440 1 1 0.0 33.3680 -7.6910 11.0960
441 1 1 0.0 33.3890 -7.1890 12.5940
442 1 1 0.0 32.1150 -7.6810 13.3790
443 1 1 0.0 32.0660 -7.1900 10.3730
444 1 1 0.0 30.7920 -7.6940 11.1540
445 1 1 0.0 30.8180 -7.1840 12.6470
446 1 1 0.0 29.5430 -7.6700 13.4250
447 1 1 0.0 29.4940 -7.1960 10.4210
448 1 1 0.0 28.2200 -7.6860 11.1980
449 1 1 0.0 28.2490 -7.1700 12.6880
450 1 1 0.0 26.9250 -7.1830 10.4610
451 1 1 0.0 60.3760 -7.1370 14.2250
452 1 1 0.0 59.1160 -7.6370 15.0160
453 1 1 0.0 59.1500 -7.1260 16.4980
454 1 1 0.0 57.8870 -7.6270 17.2810
455 1 1 0.0 57.8150 -7.1460 14.3050
456 1 1 0.0 56.5540 -7.6480 15.0940
457 1 1 0.0 56.5850 -7.1300 16.5750
458 1 1 0.0 55.3220 -7.6340 17.3550
459 1 1 0.0 55.2490 -7.1630 14.3770
460 1 1 0.0 53.9840 -7.6620 15.1630
461 1 1 0.0 54.0160 -7.1410 16.6440
462 1 1 0.0 52.7500 -7.6420 17.4230
463 1 1 0.0 52.6790 -7.1750 14.4410
464 1 1 0.0 51.4110 -7.6690 15.2250
465 1 1 0.0 51.4450 -7.1480 16.7070
466 1 1 0.0 50.1780 -7.6450 17.4840
467 1 1 0.0 50.1070 -7.1790 14.4980
468 1 1 0.0 48.8390 -7.6690 15.2810
469 1 1 0.0 48.8750 -7.1490 16.7650
470 1 1 0.0 47.6050 -7.6430 17.5410
471 1 1 0.0 47.5380 -7.1750 14.5500
472 1 1 0.0 46.2710 -7.6650 15.3340
473 1 1 0.0 46.3050 -7.1450 16.8190
474 1 1 0.0 45.0360 -7.6390 17.5950
475 1 1 0.0 44.9720 -7.1690 14.6010
476 1 1 0.0 43.7050 -7.6600 15.3850
477 1 1 0.0 43.7370 -7.1410 16.8710
478 1 1 0.0 42.4690 -7.6360 17.6480
479 1 1 0.0 42.4080 -7.1650 14.6530
480 1 1 0.0 41.1410 -7.6580 15.4380
481 1 1 0.0 41.1710 -7.1390 16.9250
482 1 1 0.0 39.9010 -7.6340 17.7020
483 1 1 0.0 39.8440 -7.1650 14.7060
484 1 1 0.0 38.5760 -7.6590 15.4930
485 1 1 0.0 38.6020 -7.1380 16.9790
486 1 1 0.0 37.3310 -7.6330 17.7560
487 1 1 0.0 37.2790 -7.1670 14.7620
488 1 1 0.0 36.0080 -7.6590 15.5470
489 1 1 0.0 36.0330 -7.1360 17.0320
490 1 1 0.0 34.7600 -7.6280 17.8070
491 1 1 0.0 34.7100 -7.1670 14.8170
492 1 1 0.0 33.4370 -7.6550 15.5990
493 1 1 0.0 33.4630 -7.1300 17.0810
494 1 1 0.0 32.1880 -7.6190 17.8530
495 1 1 0.0 32.1400 -7.1610 14.8670
496 1 1 0.0 30.8660 -7.6440 15.6450
497 1 1 0.0 30.8920 -7.1190 17.1250
498 1 1 0.0 29.5710 -7.1480 14.9110
499 1 1 0.0 57.9230 -7.1370 18.7700
500 1 1 0.0 56.6600 -7.6910 19.5110
